"Date";"ProductName";"StockEOD";"DeliveryFromProduction";"Rejection";"StartupLoss";"Obsoletes";"InBackorder"
"2018-09-11";"Fressie Orange/Mango+C 1L";205495;0;0;0;0;0
"2018-09-12";"Fressie Orange 1 liter";354637;0;0;0;0;0
"2018-09-12";"Fressie Orange/Mango 1 liter";10439;0;0;0;0;0
"2018-09-12";"Fressie Orange/C-power PET";0;0;0;0;0;22686
"2018-09-12";"Fressie Orange PET";594819;0;0;0;0;0
"2018-09-12";"Fressie Orange/Mango PET";106468;0;0;0;0;0
"2018-09-12";"Fressie Orange/Mango+C 1L";195895;0;0;0;0;0
"2018-09-13";"Fressie Orange 1 liter";354637;0;0;0;0;0
"2018-09-13";"Fressie Orange/Mango 1 liter";10439;0;0;0;0;0
"2018-09-13";"Fressie Orange/C-power PET";0;0;0;0;0;22686
"2018-09-13";"Fressie Orange PET";594819;0;0;0;0;0
"2018-09-13";"Fressie Orange/Mango PET";97828;0;0;0;0;0
"2018-09-13";"Fressie Orange/Mango+C 1L";182095;0;0;0;0;0
"2018-09-14";"Fressie Orange 1 liter";323437;0;0;0;0;0
"2018-09-14";"Fressie Orange/Mango 1 liter";10439;0;0;0;0;0
"2018-09-14";"Fressie Orange/C-power PET";17445;49704;0;933;0;22686
"2018-09-14";"Fressie Orange PET";1011742;432256;0;933;0;0
"2018-09-14";"Fressie Orange/Mango PET";97828;0;0;0;0;0
"2018-09-14";"Fressie Orange/Mango+C 1L";182095;0;0;0;0;0
"2018-09-17";"Fressie Orange 1 liter";323437;0;0;0;0;0
"2018-09-17";"Fressie Orange/Mango 1 liter";10439;0;0;0;0;0
"2018-09-17";"Fressie Orange/C-power PET";17445;0;0;0;0;0
"2018-09-17";"Fressie Orange PET";1011742;0;0;0;0;0
"2018-09-17";"Fressie Orange/Mango PET";97828;0;0;0;0;0
"2018-09-17";"Fressie Orange/Mango+C 1L";182095;0;0;0;0;0
"2018-09-18";"Fressie Orange 1 liter";288037;0;0;0;0;0
"2018-09-18";"Fressie Orange/Mango 1 liter";5039;0;0;0;0;0
"2018-09-18";"Fressie Orange/C-power PET";63378;46866;0;933;0;0
"2018-09-18";"Fressie Orange PET";965662;0;0;0;0;0
"2018-09-18";"Fressie Orange/Mango PET";97828;0;0;0;0;0
"2018-09-18";"Fressie Orange/Mango+C 1L";176695;0;0;0;0;0
"2018-09-19";"Fressie 0range 1 liter";288037;0;0;0;0;0
"2018-09-19";"Fressie 0range/Mango 1 liter";2039;0;0;0;0;0
"2018-09-19";"Fressie 0range/C-power PET";60498;0;0;0;0;0
"2018-09-19";"Fressie 0range PET";965662;0;0;0;0;0
"2018-09-19";"Fressie 0range/Mango PET";94948;0;0;0;0;0
"2018-09-19";"Fressie 0range/Mango+C 1L";176695;0;0;0;0;0
"2018-09-20";"Fressie Orange 1 liter";236437;0;0;0;0;0
"2018-09-20";"Fressie Orange/Mango 1 liter";2039;0;0;0;0;0
"2018-09-20";"Fressie Orange/C-power PET";60498;0;0;0;0;0
"2018-09-20";"Fressie Orange PET";965662;0;0;0;0;0
"2018-09-20";"Fressie Orange/Mango PET";86308;0;0;0;0;0
"2018-09-20";"Fressie Orange/Mango+C 1L";176695;0;0;0;0;0
"2018-09-21";"Fressie Orange 1 liter";236437;0;0;0;0;0
"2018-09-21";"Fressie Orange/Mango 1 liter";2039;0;0;0;0;0
"2018-09-21";"Fressie Orange/C-power PET";57618;0;0;0;0;0
"2018-09-21";"Fressie Orange PET";824542;0;0;0;0;0
"2018-09-21";"Fressie Orange/Mango PET";69028;0;0;0;0;0
"2018-09-21";"Fressie Orange/Mango+C 1L";164695;0;0;0;0;0
"2018-09-24";"Fressie Orange 1 liter";2437;0;0;0;0;0
"2018-09-24";"Fressie Orange/Mango 1 liter";18228;19469;0;280;0;0
"2018-09-24";"Fressie Orange/C-power PET";51858;0;0;0;0;0
"2018-09-24";"Fressie Orange PET";729502;0;0;0;0;0
"2018-09-24";"Fressie Orange/Mango PET";69028;0;0;0;0;0
"2018-09-24";"Fressie Orange/Mango+C 1L";164695;0;0;0;0;0
